Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1581624000000,10251.15000000,10265.00000000,10208.14000000,10226.61000000,1110.87648000,1581627599999,11367943.05473027,18443,536.35186100,5488846.64546319,0
1581627600000,10226.50000000,10228.95000000,10181.88000000,10189.01000000,1675.43181400,1581631199999,17094297.66986849,25854,940.36388200,9595324.40257100,0
1581631200000,10189.86000000,10240.26000000,10185.03000000,10224.15000000,972.47001000,1581634799999,9935367.69479534,18466,473.08451800,4833198.44347059,0
1581634800000,10224.00000000,10252.79000000,10207.02000000,10229.63000000,1056.26183300,1581638399999,10810760.00926639,18802,537.16419900,5498374.28798722,0
1581638400000,10227.78000000,10242.79000000,10178.27000000,10224.81000000,1699.63463700,1581641999999,17342306.13161787,26080,881.95213800,8999489.16933570,0
1581642000000,10225.59000000,10281.18000000,10209.19000000,10227.89000000,2003.20428700,1581645599999,20518117.95348570,23292,1047.84341700,10731606.28664059,0
1581645600000,10228.57000000,10266.60000000,10224.92000000,10260.68000000,999.83677700,1581649199999,10244906.20518056,17051,560.97001400,5748205.17873053,0
1581649200000,10260.65000000,10290.00000000,10214.00000000,10258.70000000,1981.68018300,1581652799999,20319392.64396861,25723,849.45075800,8707407.81449432,0
1581652800000,10258.66000000,10280.00000000,10204.34000000,10221.90000000,1866.77289100,1581656399999,19110434.22171964,26324,928.36356200,9505492.71735079,0
1581656400000,10221.89000000,10237.09000000,10162.37000000,10173.25000000,1719.20139600,1581659999999,17536639.13717069,23547,801.78271600,8179805.59502090,0
1581660000000,10173.30000000,10202.91000000,10154.00000000,10196.27000000,1414.73805900,1581663599999,14404749.76837513,20136,712.95115700,7259434.79340295,0
1581663600000,10196.00000000,10205.86000000,10111.37000000,10124.98000000,2258.83506000,1581667199999,22912461.84183313,29229,1047.53200600,10625741.94255885,0
